Tara,RM_Adulti,RM_Barbati,RM_femei,RM_cancer,RM_cardio,RM_vatamari,RM5_boli_diareice,RM5_HIV,RM5_vatamari,RM5_malaria,RM5_pojar,RM5_neonatal,RM5_pneumonie,SV,Tuberculoza,Polio
China,135.0,106.0,160.0,148.0,291.0,79.0,12.0,0.1,8.4,0.4,0.4,49.2,13.4,64.0,105.0,0.0
Cameroon,384.0,358.0,412.0,150.0,436.0,118.0,17.0,7.2,2.2,22.8,4.1,24.8,21.5,41.0,166.0,0.0
Estonia,218.0,120.0,318.0,150.0,435.0,144.0,1.4,0.0,17.9,0.0,0.0,54.3,2.1,64.0,66.0,0.0
Lao People's Democratic Republic,328.0,312.0,345.0,150.0,476.0,142.0,16.0,0.0,2.3,0.7,5.9,34.5,19.1,47.0,162.0,0.0
Malawi,504.0,463.0,544.0,150.0,430.0,105.0,18.0,14.0,1.7,14.1,0.3,21.7,22.6,35.0,425.0,0.0
Rwanda,512.0,499.0,531.0,150.0,425.0,126.0,19.0,5.0,1.8,4.6,1.6,21.7,23.2,38.0,344.0,0.0
Ireland,96.0,70.0,120.0,151.0,214.0,35.0,0.0,0.0,2.9,0.0,0.5,61.1,1.3,70.0,14.0,0.0
Jamaica,160.0,138.0,182.0,151.0,326.0,12.0,9.6,6.1,2.4,0.0,0.0,52.1,9.3,65.0,8.0,0.0
United Republic of Tanzania,513.0,498.0,532.0,151.0,435.0,115.0,17.0,9.3,2.0,22.7,1.3,26.9,21.1,40.0,339.0,0.0
Russian Federation,313.0,161.0,451.0,152.0,688.0,217.0,2.5,0.4,12.0,0.0,0.0,40.8,6.3,58.0,113.0,0.0
Afghanistan,498.0,448.0,540.0,153.0,706.0,134.0,19.0,0.3,1.1,1.0,5.9,26.0,24.8,36.0,208.0,11.0
Albania,149.0,113.0,183.0,154.0,537.0,64.0,11.0,0.0,4.4,0.4,0.1,52.8,10.6,61.0,25.0,0.0
Benin,335.0,314.0,358.0,154.0,432.0,116.0,17.0,2.2,2.1,27.2,5.3,25.0,21.1,44.0,85.0,0.0
Central African Republic,434.0,424.0,448.0,154.0,445.0,146.0,15.0,12.4,2.0,18.5,6.5,27.2,18.7,37.0,299.0,0.0
South Africa,386.0,324.0,446.0,154.0,410.0,120.0,0.8,57.1,5.0,0.0,0.0,35.1,0.9,44.0,576.0,0.0
Equatorial Guinea,420.0,392.0,450.0,155.0,438.0,144.0,14.0,7.4,2.5,24.0,7.4,27.5,17.3,46.0,222.0,0.0
Netherlands,84.0,67.0,100.0,155.0,171.0,23.0,0.0,0.0,5.2,0.0,0.0,63.1,1.1,71.0,9.0,0.0
Saint Vincent and the Grenadines,214.0,165.0,259.0,155.0,315.0,55.0,0.5,2.9,4.0,0.0,0.0,49.6,10.5,61.0,31.0,0.0
Chad,424.0,390.0,457.0,156.0,443.0,131.0,18.0,4.1,1.8,22.3,7.0,24.0,22.8,41.0,259.0,0.0
Guinea,364.0,322.0,405.0,156.0,432.0,147.0,17.0,2.3,1.4,24.5,5.5,28.8,20.9,45.0,198.0,0.0
Latvia,218.0,117.0,320.0,156.0,482.0,132.0,0.0,0.0,11.3,0.0,0.0,53.2,1.2,63.0,83.0,0.0
Nigeria,422.0,395.0,450.0,157.0,452.0,132.0,16.0,5.0,1.9,24.1,6.3,26.1,20.1,42.0,269.0,56.0
Gabon,291.0,254.0,325.0,158.0,410.0,103.0,8.8,10.1,2.5,28.3,4.4,35.1,10.7,51.0,254.0,0.0
Mauritania,275.0,238.0,318.0,158.0,451.0,138.0,16.0,0.3,1.9,12.2,1.7,39.4,22.3,45.0,278.0,1.0
Guinea-Bissau,414.0,355.0,472.0,159.0,449.0,138.0,19.0,2.6,1.4,21.0,3.4,24.1,23.4,41.0,193.0,0.0
Cote d'Ivoire,399.0,355.0,434.0,160.0,436.0,179.0,15.0,5.6,2.2,20.5,2.5,34.9,19.6,39.0,364.0,0.0
Slovenia,121.0,72.0,167.0,160.0,228.0,59.0,0.0,0.0,5.9,0.0,0.0,64.4,0.0,69.0,23.0,0.0
Democratic Republic of the Congo,453.0,394.0,511.0,161.0,465.0,273.0,18.0,3.7,1.6,16.9,4.7,25.7,23.1,37.0,339.0,0.0
Lithuania,197.0,103.0,293.0,161.0,391.0,136.0,0.3,0.0,17.4,0.0,0.0,41.4,5.3,63.0,77.0,0.0
Burkina Faso,414.0,377.0,459.0,162.0,459.0,149.0,19.0,4.0,1.5,20.3,3.4,18.3,23.3,36.0,181.0,0.0
Swaziland,456.0,416.0,500.0,162.0,364.0,72.0,9.6,47.0,3.8,0.2,0.2,26.8,11.8,34.0,801.0,0.0
Mali,422.0,387.0,469.0,166.0,456.0,145.0,18.0,1.6,1.4,16.9,6.1,25.9,23.9,38.0,288.0,0.0
Croatia,132.0,74.0,187.0,167.0,356.0,48.0,0.3,0.0,8.5,0.0,0.0,65.3,1.3,67.0,49.0,0.0
Denmark,100.0,77.0,122.0,167.0,182.0,40.0,0.3,0.0,5.5,0.0,0.0,73.8,0.9,70.0,9.0,0.0
Kazakhstan,308.0,194.0,422.0,167.0,713.0,160.0,15.0,0.0,6.8,0.8,0.1,43.1,16.9,56.0,141.0,0.0
Liberia,450.0,405.0,493.0,169.0,485.0,270.0,17.0,3.6,1.7,18.9,6.0,29.1,23.0,35.0,287.0,0.0
Niger,500.0,465.0,526.0,169.0,456.0,163.0,20.0,0.6,1.4,14.3,7.3,16.7,25.1,36.0,153.0,6.0
Republic of Korea,114.0,62.0,163.0,169.0,186.0,67.0,0.4,0.0,11.2,0.0,0.2,71.5,1.8,68.0,72.0,0.0
Slovakia,147.0,79.0,215.0,170.0,371.0,50.0,1.4,0.0,6.0,0.0,0.0,52.7,9.4,66.0,26.0,0.0
Uruguay,135.0,90.0,181.0,170.0,208.0,55.0,2.3,0.2,7.0,0.0,0.0,48.1,5.4,66.0,30.0,0.0
Peru,177.0,149.0,204.0,175.0,190.0,69.0,12.0,0.9,9.5,0.4,0.0,38.5,13.6,61.0,225.0,0.0
Czech Republic,124.0,76.0,172.0,177.0,315.0,50.0,0.2,0.0,12.5,0.0,0.0,48.9,3.6,68.0,15.0,0.0
Angola,483.0,435.0,531.0,179.0,486.0,231.0,19.0,2.2,1.4,8.3,4.8,22.2,24.8,33.0,251.0,1.0
Poland,152.0,86.0,216.0,180.0,324.0,53.0,0.1,0.0,5.6,0.0,0.0,59.1,2.7,66.0,35.0,0.0
Sierra Leone,582.0,477.0,670.0,181.0,515.0,250.0,20.0,1.3,1.2,12.4,5.3,21.9,25.5,29.0,371.0,0.0
Grenada,246.0,227.0,266.0,199.0,448.0,51.0,1.6,2.6,5.2,0.0,0.0,43.8,9.5,59.0,5.0,0.0
Hungary,193.0,114.0,271.0,201.0,364.0,67.0,0.1,0.0,5.6,0.0,0.0,56.9,3.9,65.0,36.0,0.0
Bolivia,231.0,200.0,263.0,256.0,260.0,80.0,14.0,0.1,5.1,0.7,0.1,37.9,17.1,54.0,233.0,0.0
Mongolia,262.0,198.0,322.0,306.0,488.0,96.0,15.0,0.3,4.4,1.0,0.3,34.1,17.1,56.0,199.0,0.0
